Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified,Latitude,Longitude
/Attraction_Review-g303631-d553244-Reviews-Museu_Paulista-Sao_Paulo_State_of_Sao_Paulo.html,Museu Paulista,Museus de história,"Rua Brigadeiro Jordão, 149 | Ipiranga, São Paulo, Estado de São Paulo 04210-000, Brasil",,,1.371,"4,5",55%,31%,10%,3%,1%,False,-23.58683,-46.60775
/Attraction_Review-g303631-d1419928-Reviews-Reboucas_Convention_Center-Sao_Paulo_State_of_Sao_Paulo.html,Centro de Convenções Rebouças,,"Av. Rebouças, 600 Pinheiros, São Paulo, Estado de São Paulo 05402-000, Brasil",,,119.0,"4,0",31%,52%,15%,2%,0%,False,-23.56933,-46.68774
/Attraction_Review-g303631-d9454423-Reviews-Transamerica_Expo_Center-Sao_Paulo_State_of_Sao_Paulo.html,Transamérica Expo Center,,"Av. Dr. Mário Villas Boas Rodrigues, 387 | Santo Amaro, São Paulo, Estado de São Paulo 04757-020, Brasil",,,183.0,"4,0",33%,42%,18%,6%,1%,False,0.0,0.0
/Attraction_Review-g303631-d15343289-Reviews-Trilha_do_Pai_Ze-Sao_Paulo_State_of_Sao_Paulo.html,Trilha do Pai Zé,Trilhas para caminhada,"Rua Antônio Cardoso Nogueira, 539 | O inico da trilha fica próximo à entrada do parque. Vila Jaraguá, São Paulo, Estado de São Paulo 05184-000, Brasil",,,10.0,"5,0",80%,20%,0%,0%,0%,False,0.0,0.0
/Attraction_Review-g303631-d7257576-Reviews-Espaco_Cultural_Porto_Seguro-Sao_Paulo_State_of_Sao_Paulo.html,Espaço Cultural Porto Seguro,Pontos de interesse,"Alameda Barão de Piracicaba, 610 | Campos Elíseos, São Paulo, Estado de São Paulo 01216-012, Brasil",,,126.0,"4,5",70%,27%,3%,0%,0%,True,-23.53068,-46.64548
/Attraction_Review-g303631-d2350141-Reviews-Olido_Gallery-Sao_Paulo_State_of_Sao_Paulo.html,Galeria Olido,Teatros,"Av. São João, 473 | Centro, São Paulo, Estado de São Paulo 01035-904, Brasil",Seg - Sáb,09:00 - 22:00,72.0,"4,0",25%,57%,16%,1%,1%,False,-21.77624,-48.18168
/Attraction_Review-g303631-d10536421-Reviews-Biblioteca_Parque_Villa_Lobos_BVL-Sao_Paulo_State_of_Sao_Paulo.html,Biblioteca Parque Villa-Lobos (BVL),Bibliotecas,"Av. Prof. Fonseca Rodrigues, 2001 | Alto de Pinheiros, São Paulo, Estado de São Paulo 05461-010, Brasil",Ter - Dom,09:30 - 18:30,22.0,"4,5",69%,27%,4%,0%,0%,False,0.0,0.0
/Attraction_Review-g303631-d11863615-Reviews-Parque_Jardim_das_Perdizes-Sao_Paulo_State_of_Sao_Paulo.html,Parque Jardim das Perdizes,Parques,"Av. Marquês de São Vicente, 2033, Barra Funda, São Paulo, Estado de São Paulo 01139-003, Brasil",,,16.0,"4,5",57%,31%,12%,0%,0%,False,-23.5188,-46.67678
/Attraction_Review-g303631-d532243-Reviews-Manor_Of_The_Marquesa_Of_Santos-Sao_Paulo_State_of_Sao_Paulo.html,Solar Da Marquesa De Santos,Museus especializados,"Rua Roberto Simonsen 136 | Centro, São Paulo, Estado de São Paulo 01017-020, Brasil",,,199.0,"4,0",30%,47%,20%,2%,1%,False,-23.46331,-46.53653
/Attraction_Review-g303631-d8714504-Reviews-SESC_Bom_Retiro-Sao_Paulo_State_of_Sao_Paulo.html,SESC Bom Retiro,Teatros,"Alameda Nothmann 185, São Paulo, Estado de São Paulo 01216-000, Brasil",,,47.0,"4,5",65%,31%,4%,0%,0%,False,-23.5333,-46.64735
